UTRA_ID	UTRA_NOMBRE	UTRA_OFICINA	UTRA_REGISTRO_ACT
ADM200	UNIDAD ADMIN. Y FINANZAS	2	S
ADM300	ADM - DEPTO. ADMIN. Y FINANZAS	3	S
ADM301	ADM - SECCION CART. HIPOTECARIAS	3	S
ADM302	ADM - SECCION CONTAB. Y PPTO.	3	S
ADM303	ADM - SECCION PERSONAL	3	S
ADM304	ADM - SECCION SERVICIOS GENERALES	3	S
ADM305	ADM - OFICINA DE TESORERIA	3	S
ADM306	ADM - OFICINA DE PARTES	3	S
ADM307	ADM - UNIDAD DE INFORMATICA	3	S
ADM400	UNIDAD ADMIN. Y FINANZAS	4	S
DIR200	DEPTO. PROVINCIAL OSORNO	2	S
DIR203	OF. DE INFORMACIONES	2	S
DIR300	DIR - DIRECCION REGIONAL	3	S
DIR301	DIR - CONTRALORIA INTERNA	3	S
DIR302	DIR - OF. DE INFORMACIONES	3	S
DIR303	DIR - ASENTAMIENTOS PRECARIOS	3	S
DIR304	DIR - AREA BANCO DE POSTULACIONES	3	S
DIR400	DEPTO. PROVINCIAL CHILOE	4	S
DIR403	OF. DE INFORMACIONES	4	S
DIR700	DIRECCION OF. ANCUD	7	S
JUR200	UNIDAD JURIDICA	2	S
JUR300	JUR - DEPTO. JURIDICO	3	S
JUR400	UNIDAD JURIDICA	4	S
OPH200	UNIDAD OO.HH.	2	S
OPH300	OPH - DEPTO. OO.HH.	3	S
OPH301	OPH - AREA EVAL SOCIAL Y HABIL FAMILIAS	3	S
OPH302	OPH - AREA APLICACION Y PAGOS SUBSIDIOS	3	S
OPH303	OPH - AREA SANEAMIENTO SUBSIDIOS	3	S
OPH304	OPH - AREA DE ASISTENCIA TECNICA	3	S
OPH306	OPH - AREA EVALUACION DE PROYECTOS	3	S
OPH400	UNIDAD OO.HH.	4	S
PRG300	PRG - DEPTO. PROGR. Y CONTROL	3	S
TEC200	UNIDAD TECNICA	2	S
TEC300	TEC - DEPTO. TECNICO	3	S
TEC301	TEC - AREA DE OBRAS	3	S
TEC302	TEC - AREA DE PROGRAMAS URBANOS	3	S
TEC303	TEC - AREA GESTION DE SUELOS	3	S
TEC304	TEC - AREA DE LICITACIONES Y CTTOS	3	S
TEC306	TEC - AREA SUPERVISION DE OBRAS HABITACIONALES	3	S
TEC400	UNIDAD TECNICA	4	S
